type,description,risk,recommendations
sleep_issue,Everything feels normal and good,low,Maintain routine|Stay hydrated|Exercise daily
stress,"I feel very weak, dizzy and unable to work",high,Consult doctor|Immediate rest|Medical attention needed
weakness,I feel energetic and active throughout the day,low,Maintain routine|Stay hydrated|Exercise daily
sleep_issue,"No symptoms, feeling great today",low,Maintain routine|Stay hydrated|Exercise daily
stress,Chest pain and breathing difficulty,high,Consult doctor|Immediate rest|Medical attention needed
weakness,Everything feels normal and good,low,Maintain routine|Stay hydrated|Exercise daily
fatigue,Chest pain and breathing difficulty,high,Consult doctor|Immediate rest|Medical attention needed
weakness,Feeling a bit weak but still working,medium,Reduce stress|Take proper sleep|Light exercise
sleep_issue,High fever with body pain and weakness,high,Consult doctor|Immediate rest|Medical attention needed
weakness,I have good energy and no health issues,low,Maintain routine|Stay hydrated|Exercise daily
weakness,Everything feels normal and good,low,Maintain routine|Stay hydrated|Exercise daily
fatigue,I am completely fine and healthy,low,Maintain routine|Stay hydrated|Exercise daily
fever,I am not able to sleep and feel exhausted,high,Consult doctor|Immediate rest|Medical attention needed
sleep_issue,I feel tired sometimes but manageable,medium,Reduce stress|Take proper sleep|Light exercise
sleep_issue,Severe fatigue and constant tiredness,high,Consult doctor|Immediate rest|Medical attention needed
fever,I am not able to sleep and feel exhausted,high,Consult doctor|Immediate rest|Medical attention needed
weakness,I feel strong and productive,low,Maintain routine|Stay hydrated|Exercise daily
weakness,Stress is affecting my focus,medium,Reduce stress|Take proper sleep|Light exercise
fatigue,I feel tired sometimes but manageable,medium,Reduce stress|Take proper sleep|Light exercise
anxiety,"No symptoms, feeling great today",low,Maintain routine|Stay hydrated|Exercise daily
fever,I sleep well and wake up fresh,low,Maintain routine|Stay hydrated|Exercise daily
weakness,"No symptoms, feeling great today",low,Maintain routine|Stay hydrated|Exercise daily
anxiety,Stress is affecting my focus,medium,Reduce stress|Take proper sleep|Light exercise
stress,Feeling a bit weak but still working,medium,Reduce stress|Take proper sleep|Light exercise
sleep_issue,I have good energy and no health issues,low,Maintain routine|Stay hydrated|Exercise daily
stress,I feel tired sometimes but manageable,medium,Reduce stress|Take proper sleep|Light exercise
anxiety,I feel strong and productive,low,Maintain routine|Stay hydrated|Exercise daily
